year,sex,first name,count
01/01/1926 12:00:00 AM,F,HELEN,135
01/01/1926 12:00:00 AM,F,DOROTHY,122
01/01/1926 12:00:00 AM,F,ELIZABETH,108
01/01/1926 12:00:00 AM,F,ANNIE,103
01/01/1926 12:00:00 AM,F,JEAN,95
01/01/1926 12:00:00 AM,F,CATHERINE,91
01/01/1926 12:00:00 AM,F,MARION,88
01/01/1926 12:00:00 AM,F,ALICE,77
01/01/1926 12:00:00 AM,F,DORIS,75
01/01/1926 12:00:00 AM,F,FLORENCE,75
01/01/1926 12:00:00 AM,F,MARJORIE,74
01/01/1926 12:00:00 AM,F,EVELYN,72
01/01/1926 12:00:00 AM,F,FRANCES,67
01/01/1926 12:00:00 AM,F,SHIRLEY,67
01/01/1926 12:00:00 AM,F,RUTH,64
01/01/1926 12:00:00 AM,F,KATHLEEN,62
01/01/1926 12:00:00 AM,F,ANNA,54
01/01/1927 12:00:00 AM,F,MARY,522
01/01/1927 12:00:00 AM,F,MARGARET,193
01/01/1927 12:00:00 AM,F,MARIE,164
01/01/1927 12:00:00 AM,F,DOROTHY,129
01/01/1927 12:00:00 AM,F,HELEN,129
01/01/1927 12:00:00 AM,F,ANNIE,107
01/01/1927 12:00:00 AM,F,CATHERINE,102
01/01/1927 12:00:00 AM,F,ELIZABETH,100
01/01/1927 12:00:00 AM,F,JEAN,100
01/01/1927 12:00:00 AM,F,SHIRLEY,99
01/01/1927 12:00:00 AM,F,MARION,85
01/01/1927 12:00:00 AM,F,FLORENCE,84
01/01/1927 12:00:00 AM,F,DORIS,76
01/01/1927 12:00:00 AM,F,THERESA,69
01/01/1927 12:00:00 AM,F,MARJORIE,68
01/01/1927 12:00:00 AM,F,MILDRED,63
01/01/1927 12:00:00 AM,F,FRANCES,56
01/01/1927 12:00:00 AM,F,RUTH,55
01/01/1927 12:00:00 AM,F,ALICE,54
01/01/1927 12:00:00 AM,F,BARBARA,53
01/01/1928 12:00:00 AM,F,MARY,511
01/01/1928 12:00:00 AM,F,MARGARET,196
01/01/1928 12:00:00 AM,F,MARIE,155
01/01/1928 12:00:00 AM,F,HELEN,140
01/01/1928 12:00:00 AM,F,JEAN,121
01/01/1928 12:00:00 AM,F,SHIRLEY,118
01/01/1928 12:00:00 AM,F,ANNIE,116
01/01/1928 12:00:00 AM,F,DOROTHY,104
01/01/1928 12:00:00 AM,F,MARION,101
01/01/1928 12:00:00 AM,F,FLORENCE,98
01/01/1928 12:00:00 AM,F,CATHERINE,97
01/01/1928 12:00:00 AM,F,DORIS,80
01/01/1928 12:00:00 AM,F,RUTH,79
01/01/1928 12:00:00 AM,F,ELIZABETH,66
01/01/1928 12:00:00 AM,F,LILLIAN,61
01/01/1928 12:00:00 AM,F,AUDREY,60
01/01/1928 12:00:00 AM,F,MURIEL,60
01/01/1928 12:00:00 AM,F,MARJORIE,59
01/01/1928 12:00:00 AM,F,ALICE,56
01/01/1928 12:00:00 AM,F,MILDRED,52
01/01/1929 12:00:00 AM,F,MARY,474
01/01/1929 12:00:00 AM,F,MARGARET,174
01/01/1929 12:00:00 AM,F,MARIE,151
01/01/1929 12:00:00 AM,F,HELEN,122
01/01/1929 12:00:00 AM,F,SHIRLEY,120
01/01/1929 12:00:00 AM,F,JEAN,114
01/01/1929 12:00:00 AM,F,DOROTHY,111
01/01/1929 12:00:00 AM,F,ANNIE,106
01/01/1929 12:00:00 AM,F,ELIZABETH,101
01/01/1929 12:00:00 AM,F,DORIS,76
01/01/1929 12:00:00 AM,F,MARION,76
01/01/1929 12:00:00 AM,F,RUTH,74
01/01/1929 12:00:00 AM,F,CATHERINE,73
01/01/1929 12:00:00 AM,F,FRANCES,66
01/01/1929 12:00:00 AM,F,JOAN,66
01/01/1929 12:00:00 AM,F,LILLIAN,63
01/01/1929 12:00:00 AM,F,FLORENCE,61
01/01/1929 12:00:00 AM,F,AUDREY,55
01/01/1929 12:00:00 AM,F,MARJORIE,53
01/01/1929 12:00:00 AM,F,ALICE,51
01/01/1929 12:00:00 AM,F,JOYCE,51
01/01/1920 12:00:00 AM,M,JOHN,451
01/01/1920 12:00:00 AM,M,JOSEPH,303
01/01/1920 12:00:00 AM,M,JAMES,269
01/01/1920 12:00:00 AM,M,WILLIAM,269
01/01/1920 12:00:00 AM,M,GEORGE,247
01/01/1920 12:00:00 AM,M,CHARLES,150
01/01/1920 12:00:00 AM,M,ROBERT,142
01/01/1920 12:00:00 AM,M,DONALD,138
01/01/1920 12:00:00 AM,M,HAROLD,121
01/01/1920 12:00:00 AM,M,ARTHUR,111
01/01/1920 12:00:00 AM,M,THOMAS,102
01/01/1920 12:00:00 AM,M,EDWARD,80
01/01/1920 12:00:00 AM,M,GERALD,77
01/01/1920 12:00:00 AM,M,WALTER,77
01/01/1920 12:00:00 AM,M,GORDON,71
01/01/1920 12:00:00 AM,M,RALPH,69
01/01/1920 12:00:00 AM,M,ALBERT,62
01/01/1920 12:00:00 AM,M,KENNETH,62
01/01/1920 12:00:00 AM,M,DOUGLAS,61
01/01/1920 12:00:00 AM,M,RONALD,57
01/01/1921 12:00:00 AM,M,JOHN,490
01/01/1921 12:00:00 AM,M,JOSEPH,355
01/01/1921 12:00:00 AM,M,WILLIAM,279
01/01/1921 12:00:00 AM,M,JAMES,244
01/01/1921 12:00:00 AM,M,GEORGE,209
01/01/1921 12:00:00 AM,M,CHARLES,173
01/01/1921 12:00:00 AM,M,DONALD,165
01/01/1921 12:00:00 AM,M,ROBERT,156
01/01/1921 12:00:00 AM,M,ARTHUR,112
01/01/1921 12:00:00 AM,M,HAROLD,109
01/01/1921 12:00:00 AM,M,GERALD,90
01/01/1921 12:00:00 AM,M,EDWARD,87
01/01/1921 12:00:00 AM,M,THOMAS,87
01/01/1921 12:00:00 AM,M,RONALD,69
01/01/1921 12:00:00 AM,M,GORDON,68
01/01/1921 12:00:00 AM,M,WALTER,67
01/01/1921 12:00:00 AM,M,DOUGLAS,66
01/01/1921 12:00:00 AM,M,KENNETH,66
01/01/1921 12:00:00 AM,M,RALPH,66
01/01/1921 12:00:00 AM,M,ALBERT,65
01/01/1922 12:00:00 AM,M,JOHN,456
01/01/1922 12:00:00 AM,M,JOSEPH,320
01/01/1922 12:00:00 AM,M,JAMES,279
01/01/1922 12:00:00 AM,M,WILLIAM,259
01/01/1922 12:00:00 AM,M,DONALD,191
01/01/1922 12:00:00 AM,M,GEORGE,187
01/01/1922 12:00:00 AM,M,CHARLES,169
01/01/1922 12:00:00 AM,M,ROBERT,152
01/01/1922 12:00:00 AM,M,ARTHUR,113
01/01/1922 12:00:00 AM,M,HAROLD,107
01/01/1922 12:00:00 AM,M,THOMAS,94
01/01/1922 12:00:00 AM,M,WALTER,82
01/01/1922 12:00:00 AM,M,GERALD,81
01/01/1922 12:00:00 AM,M,EDWARD,77
01/01/1922 12:00:00 AM,M,RALPH,77
01/01/1922 12:00:00 AM,M,KENNETH,72
01/01/1922 12:00:00 AM,M,GORDON,71
01/01/1922 12:00:00 AM,M,DOUGLAS,70
01/01/1922 12:00:00 AM,M,ALEXANDER,63
01/01/1922 12:00:00 AM,M,HENRY,63
01/01/1923 12:00:00 AM,M,JOHN,375
01/01/1923 12:00:00 AM,M,JOSEPH,303
01/01/1923 12:00:00 AM,M,JAMES,232
01/01/1923 12:00:00 AM,M,WILLIAM,214
01/01/1923 12:00:00 AM,M,GEORGE,211
01/01/1923 12:00:00 AM,M,DONALD,185
01/01/1923 12:00:00 AM,M,CHARLES,154
01/01/1923 12:00:00 AM,M,ROBERT,132
01/01/1923 12:00:00 AM,M,HAROLD,115
01/01/1923 12:00:00 AM,M,GERALD,90
01/01/1923 12:00:00 AM,M,ARTHUR,75
01/01/1923 12:00:00 AM,M,DOUGLAS,71
01/01/1923 12:00:00 AM,M,EDWARD,70
01/01/1923 12:00:00 AM,M,WALTER,70
01/01/1923 12:00:00 AM,M,THOMAS,69
01/01/1923 12:00:00 AM,M,KENNETH,67
01/01/1923 12:00:00 AM,M,RONALD,67
01/01/1923 12:00:00 AM,M,HARRY,62
01/01/1923 12:00:00 AM,M,FRANCIS,59
01/01/1923 12:00:00 AM,M,GORDON,57
01/01/1924 12:00:00 AM,M,JOHN,435
01/01/1924 12:00:00 AM,M,JOSEPH,306
01/01/1924 12:00:00 AM,M,JAMES,247
01/01/1924 12:00:00 AM,M,WILLIAM,246
01/01/1924 12:00:00 AM,M,GEORGE,196
01/01/1924 12:00:00 AM,M,DONALD,195
01/01/1924 12:00:00 AM,M,CHARLES,160
01/01/1924 12:00:00 AM,M,ROBERT,141
01/01/1924 12:00:00 AM,M,HAROLD,107
01/01/1924 12:00:00 AM,M,GERALD,105
01/01/1924 12:00:00 AM,M,ARTHUR,84
01/01/1924 12:00:00 AM,M,THOMAS,81
01/01/1924 12:00:00 AM,M,GORDON,79
01/01/1924 12:00:00 AM,M,DOUGLAS,65
01/01/1924 12:00:00 AM,M,FREDERICK,61
01/01/1924 12:00:00 AM,M,RONALD,58
01/01/1924 12:00:00 AM,M,FRANK,57
01/01/1924 12:00:00 AM,M,KENNETH,57
01/01/1924 12:00:00 AM,M,ALBERT,56
01/01/1924 12:00:00 AM,M,EDWARD,56
01/01/1925 12:00:00 AM,M,JOHN,501
01/01/1925 12:00:00 AM,M,WILLIAM,276
01/01/1925 12:00:00 AM,M,JOSEPH,266
01/01/1925 12:00:00 AM,M,JAMES,223
01/01/1925 12:00:00 AM,M,GEORGE,209
01/01/1925 12:00:00 AM,M,DONALD,203
01/01/1925 12:00:00 AM,M,ROBERT,161
01/01/1925 12:00:00 AM,M,CHARLES,138
01/01/1925 12:00:00 AM,M,ARTHUR,102
01/01/1925 12:00:00 AM,M,HAROLD,94
01/01/1925 12:00:00 AM,M,GERALD,89
01/01/1925 12:00:00 AM,M,THOMAS,87
01/01/1925 12:00:00 AM,M,EDWARD,79
01/01/1925 12:00:00 AM,M,GORDON,71
01/01/1925 12:00:00 AM,M,KENNETH,71
01/01/1925 12:00:00 AM,M,WALTER,64
01/01/1925 12:00:00 AM,M,FRANCIS,62
01/01/1925 12:00:00 AM,M,ALEXANDER,61
01/01/1925 12:00:00 AM,M,RONALD,60
01/01/1925 12:00:00 AM,M,DOUGLAS,55
01/01/1926 12:00:00 AM,M,JOHN,402
01/01/1926 12:00:00 AM,M,JOSEPH,301
01/01/1926 12:00:00 AM,M,JAMES,245
01/01/1926 12:00:00 AM,M,WILLIAM,237
01/01/1926 12:00:00 AM,M,DONALD,202
01/01/1926 12:00:00 AM,M,GEORGE,191
01/01/1926 12:00:00 AM,M,ROBERT,158
01/01/1926 12:00:00 AM,M,CHARLES,138
01/01/1926 12:00:00 AM,M,HAROLD,123
01/01/1926 12:00:00 AM,M,ARTHUR,97
01/01/1926 12:00:00 AM,M,GERALD,96
01/01/1926 12:00:00 AM,M,EDWARD,73
01/01/1926 12:00:00 AM,M,THOMAS,72
01/01/1926 12:00:00 AM,M,GORDON,69
01/01/1926 12:00:00 AM,M,FRANCIS,66
01/01/1926 12:00:00 AM,M,DOUGLAS,61
01/01/1926 12:00:00 AM,M,RONALD,59
01/01/1926 12:00:00 AM,M,WALTER,59
01/01/1926 12:00:00 AM,M,KENNETH,57
01/01/1926 12:00:00 AM,M,ALEXANDER,53
01/01/1926 12:00:00 AM,M,RALPH,53
01/01/1927 12:00:00 AM,M,JOHN,412
01/01/1927 12:00:00 AM,M,JOSEPH,270
01/01/1927 12:00:00 AM,M,JAMES,234
01/01/1927 12:00:00 AM,M,WILLIAM,233
01/01/1927 12:00:00 AM,M,GEORGE,189
01/01/1927 12:00:00 AM,M,DONALD,171
01/01/1927 12:00:00 AM,M,CHARLES,159
01/01/1927 12:00:00 AM,M,ROBERT,147
01/01/1927 12:00:00 AM,M,GERALD,108
01/01/1927 12:00:00 AM,M,ARTHUR,104
01/01/1927 12:00:00 AM,M,HAROLD,102
01/01/1927 12:00:00 AM,M,THOMAS,74
01/01/1927 12:00:00 AM,M,DOUGLAS,73
01/01/1927 12:00:00 AM,M,RONALD,73
01/01/1927 12:00:00 AM,M,EDWARD,72
01/01/1927 12:00:00 AM,M,GORDON,71
01/01/1927 12:00:00 AM,M,KENNETH,62
01/01/1927 12:00:00 AM,M,FRANCIS,61
01/01/1927 12:00:00 AM,M,DANIEL,52
01/01/1927 12:00:00 AM,M,RALPH,52
01/01/1928 12:00:00 AM,M,JOHN,392
01/01/1928 12:00:00 AM,M,JOSEPH,273
01/01/1928 12:00:00 AM,M,JAMES,239
01/01/1928 12:00:00 AM,M,WILLIAM,237
01/01/1928 12:00:00 AM,M,DONALD,204
01/01/1928 12:00:00 AM,M,ROBERT,198
01/01/1928 12:00:00 AM,M,GEORGE,196
01/01/1928 12:00:00 AM,M,CHARLES,138
01/01/1928 12:00:00 AM,M,GERALD,98
01/01/1928 12:00:00 AM,M,HAROLD,98
01/01/1928 12:00:00 AM,M,GORDON,78
01/01/1928 12:00:00 AM,M,RONALD,75
01/01/1928 12:00:00 AM,M,KENNETH,74
01/01/1928 12:00:00 AM,M,ARTHUR,73
01/01/1928 12:00:00 AM,M,THOMAS,73
01/01/1928 12:00:00 AM,M,EDWARD,66
01/01/1928 12:00:00 AM,M,FRANCIS,63
01/01/1928 12:00:00 AM,M,ALEXANDER,61
01/01/1928 12:00:00 AM,M,DOUGLAS,58
01/01/1928 12:00:00 AM,M,WALTER,48
01/01/1929 12:00:00 AM,M,JOHN,414
01/01/1929 12:00:00 AM,M,JOSEPH,284
01/01/1929 12:00:00 AM,M,WILLIAM,254
01/01/1929 12:00:00 AM,M,JAMES,240
01/01/1929 12:00:00 AM,M,GEORGE,187
01/01/1929 12:00:00 AM,M,DONALD,178
01/01/1929 12:00:00 AM,M,ROBERT,153
01/01/1929 12:00:00 AM,M,CHARLES,150
01/01/1929 12:00:00 AM,M,GERALD,106
01/01/1929 12:00:00 AM,M,THOMAS,86
01/01/1929 12:00:00 AM,M,HAROLD,83
01/01/1929 12:00:00 AM,M,KENNETH,82
01/01/1929 12:00:00 AM,M,ARTHUR,77
01/01/1929 12:00:00 AM,M,WALTER,73
01/01/1929 12:00:00 AM,M,DOUGLAS,70
01/01/1929 12:00:00 AM,M,RONALD,60
01/01/1929 12:00:00 AM,M,GORDON,58
01/01/1929 12:00:00 AM,M,EDWARD,57
01/01/1929 12:00:00 AM,M,DAVID,56
01/01/1929 12:00:00 AM,M,RAYMOND,56
01/01/1930 12:00:00 AM,F,MARY,517
01/01/1930 12:00:00 AM,F,MARGARET,184
01/01/1930 12:00:00 AM,F,MARIE,142
01/01/1930 12:00:00 AM,F,SHIRLEY,137
01/01/1930 12:00:00 AM,F,DOROTHY,131
01/01/1930 12:00:00 AM,F,HELEN,129
01/01/1930 12:00:00 AM,F,JEAN,105
01/01/1930 12:00:00 AM,F,ELIZABETH,102
01/01/1930 12:00:00 AM,F,ANNIE,88
01/01/1930 12:00:00 AM,F,CATHERINE,87
01/01/1930 12:00:00 AM,F,MARION,85
01/01/1930 12:00:00 AM,F,FLORENCE,82
01/01/1930 12:00:00 AM,F,JOAN,78
01/01/1930 12:00:00 AM,F,DORIS,69
01/01/1930 12:00:00 AM,F,BARBARA,67
01/01/1930 12:00:00 AM,F,JOYCE,67
01/01/1930 12:00:00 AM,F,RUTH,67
01/01/1930 12:00:00 AM,F,ANNA,65
01/01/1930 12:00:00 AM,F,MARJORIE,65
01/01/1930 12:00:00 AM,F,LILLIAN,62
01/01/1931 12:00:00 AM,F,MARY,525
01/01/1931 12:00:00 AM,F,MARGARET,180
01/01/1931 12:00:00 AM,F,MARIE,165
01/01/1931 12:00:00 AM,F,DOROTHY,143
01/01/1931 12:00:00 AM,F,SHIRLEY,139
01/01/1931 12:00:00 AM,F,HELEN,128
01/01/1931 12:00:00 AM,F,JOAN,123
01/01/1931 12:00:00 AM,F,JEAN,102
01/01/1931 12:00:00 AM,F,ELIZABETH,100
01/01/1931 12:00:00 AM,F,ANNIE,97
01/01/1931 12:00:00 AM,F,MARION,96
01/01/1931 12:00:00 AM,F,CATHERINE,89
01/01/1931 12:00:00 AM,F,FLORENCE,75
01/01/1931 12:00:00 AM,F,DORIS,74
01/01/1931 12:00:00 AM,F,BARBARA,71
01/01/1931 12:00:00 AM,F,ALICE,69
01/01/1931 12:00:00 AM,F,RUTH,69
01/01/1931 12:00:00 AM,F,AUDREY,66
01/01/1931 12:00:00 AM,F,JOYCE,63
01/01/1931 12:00:00 AM,F,LILLIAN,60
01/01/1932 12:00:00 AM,F,MARY,562
01/01/1932 12:00:00 AM,F,MARGARET,184
01/01/1932 12:00:00 AM,F,JOAN,165
01/01/1932 12:00:00 AM,F,MARIE,165
01/01/1932 12:00:00 AM,F,SHIRLEY,141
01/01/1932 12:00:00 AM,F,ELIZABETH,140
01/01/1932 12:00:00 AM,F,BARBARA,105
01/01/1932 12:00:00 AM,F,DOROTHY,105
01/01/1932 12:00:00 AM,F,HELEN,93
01/01/1932 12:00:00 AM,F,CATHERINE,86
01/01/1932 12:00:00 AM,F,JEAN,85
01/01/1932 12:00:00 AM,F,DORIS,78
01/01/1932 12:00:00 AM,F,JOYCE,74
01/01/1932 12:00:00 AM,F,FLORENCE,72
01/01/1932 12:00:00 AM,F,ANNIE,66
01/01/1932 12:00:00 AM,F,RUTH,65
01/01/1932 12:00:00 AM,F,MARION,62
01/01/1932 12:00:00 AM,F,ALICE,58
01/01/1932 12:00:00 AM,F,BETTY,56
01/01/1932 12:00:00 AM,F,MARJORIE,56
01/01/1933 12:00:00 AM,F,MARY,510
01/01/1933 12:00:00 AM,F,MARGARET,192
01/01/1933 12:00:00 AM,F,MARIE,163
01/01/1933 12:00:00 AM,F,JOAN,161
01/01/1933 12:00:00 AM,F,SHIRLEY,159
01/01/1933 12:00:00 AM,F,ELIZABETH,113
01/01/1933 12:00:00 AM,F,HELEN,111
01/01/1933 12:00:00 AM,F,BARBARA,108
01/01/1933 12:00:00 AM,F,DOROTHY,100
01/01/1933 12:00:00 AM,F,CATHERINE,91
01/01/1933 12:00:00 AM,F,JEAN,91
01/01/1933 12:00:00 AM,F,JOYCE,81
01/01/1933 12:00:00 AM,F,MARION,75
01/01/1933 12:00:00 AM,F,FLORENCE,73
01/01/1933 12:00:00 AM,F,ANNA,68
01/01/1933 12:00:00 AM,F,ANNIE,66
01/01/1933 12:00:00 AM,F,DORIS,65
01/01/1933 12:00:00 AM,F,RUTH,55
01/01/1933 12:00:00 AM,F,EVELYN,52
01/01/1933 12:00:00 AM,F,BETTY,51
01/01/1934 12:00:00 AM,F,MARY,496
01/01/1934 12:00:00 AM,F,MARGARET,200
01/01/1934 12:00:00 AM,F,SHIRLEY,200
01/01/1934 12:00:00 AM,F,MARIE,159
01/01/1934 12:00:00 AM,F,JOAN,149
01/01/1934 12:00:00 AM,F,BARBARA,130
01/01/1934 12:00:00 AM,F,HELEN,113
01/01/1934 12:00:00 AM,F,JEAN,101
01/01/1934 12:00:00 AM,F,DOROTHY,88
01/01/1934 12:00:00 AM,F,CATHERINE,87
01/01/1934 12:00:00 AM,F,ELIZABETH,87
01/01/1934 12:00:00 AM,F,MARION,85
01/01/1934 12:00:00 AM,F,FLORENCE,74
01/01/1934 12:00:00 AM,F,ANNIE,73
01/01/1934 12:00:00 AM,F,JOYCE,72
01/01/1934 12:00:00 AM,F,FRANCES,58
01/01/1934 12:00:00 AM,F,RUTH,56
01/01/1934 12:00:00 AM,F,ALICE,52
01/01/1934 12:00:00 AM,F,BETTY,51
